Constituency,Ward,Andrew Hartley DISMORE,Joseph John LANGTON,Zack POLANSKI,Stephen John TAYLOR,Daniel THOMAS,Want of official mark,Writing identifying voter,Unmarked,Uncertain,Voting for too many
Barnet Postal,12304,1701,1333,1621,14298,0,4,111,22,16
Brunswick Park AC,1641,289,199,275,1507,0,0,36,3,6
Burnt Oak,1951,259,119,136,497,0,0,33,0,7
Childs Hill,1519,144,374,324,1634,0,0,54,7,7
Colindale,2089,175,127,178,658,0,0,30,2,7
Coppetts,2051,232,210,389,1135,0,1,39,3,12
East Barnet,1469,344,202,342,1478,0,0,28,7,6
East Finchley,2463,202,311,471,1036,0,0,35,6,4
Edgware AC,1446,158,90,102,1971,0,0,24,4,0
Finchley Church End,1284,134,198,267,2362,0,0,55,3,4
Garden Suburb,1032,86,272,278,2753,0,0,29,3,3
Golders Green,1070,106,146,162,2019,0,0,52,0,3
Hale,1741,225,104,175,1729,0,0,30,2,6
Hendon,1305,115,134,167,1835,0,0,22,5,5
High Barnet,1683,306,333,527,1945,0,0,28,5,5
Mill Hill,1769,206,184,235,2014,0,0,38,3,2
Oakleigh,1337,293,223,351,2013,0,1,50,1,4
Totteridge,1088,172,206,259,1913,0,0,44,8,2
Underhill,1779,401,235,317,1371,0,0,40,4,9
West Finchley,1791,148,265,349,1243,0,0,33,5,6
West Hendon,1551,153,116,152,1232,0,0,41,4,6
Woodhouse,2018,234,202,427,1277,0,0,45,3,7
BELSIZE,1130,107,360,383,1099,0,0,33,1,5
BLOOMSBURY,1038,110,173,348,441,0,1,27,3,3
CAMDEN POSTALS,5982,652,1207,1396,5395,0,4,54,15,9
CAMDEN TOWN WITH PRIMROSE HILL,1715,117,239,576,749,0,0,28,2,6
CANTELOWES,1978,133,274,538,383,0,1,38,3,5
FORTUNE GREEN,1387,107,440,369,832,0,0,40,1,4
FROGNAL AND FITZJOHNS,725,62,188,266,1224,0,0,27,2,1
GOSPEL OAK,1852,177,206,512,512,0,1,36,4,10
HAMPSTEAD TOWN,947,56,259,396,1086,0,0,34,9,3
HAVERSTOCK,1921,166,258,445,470,0,0,40,5,7
HIGHGATE,1868,152,223,811,666,0,0,27,4,6
HOLBORN AND COVENT GARDEN,1764,172,162,378,532,0,0,48,4,8
KENTISH TOWN,2506,156,267,878,445,0,1,18,14,6
KILBURN AG,1676,157,277,329,482,0,0,48,6,14
KINGS CROSS,1495,101,147,308,298,0,0,24,4,6
REGENTS PARK,1887,151,168,385,432,0,0,51,4,17
ST. PANCRAS AND SOMERS TOWN,2491,188,131,379,311,0,0,48,5,12
SWISS COTTAGE,1229,84,264,367,1091,0,0,34,5,3
WEST HAMPSTEAD,1510,126,378,428,874,0,0,27,9,5
