Constituency,Ward,Rathy ALAGARATNAM,Joel Erne DAVIDSON,Anton GEORGIOU,Jafar HASSAN,Akib MAHMOOD,Navin SHAH,Want of official mark,Writing identifying voter,Unmarked,Uncertain,Voting for too many
Alperton,228,961,372,195,98,2618,0,0,94,4,50
Barnhill,136,1033,189,231,188,2041,0,0,56,2,11
Brent Postals,639,5195,1449,874,631,7785,0,1,52,3,25
Brondesbury Park,82,988,239,300,117,1359,0,0,35,4,10
Dollis Hill,124,624,315,129,280,1375,0,0,35,0,21
Dudden Hill,146,654,504,294,203,1784,0,1,68,3,11
Fryent,209,953,159,189,125,1515,0,0,42,3,13
Harlesden,107,380,155,233,104,2080,0,0,43,0,16
Kensal Green,92,585,302,368,67,1755,0,2,63,3,8
Kenton,149,1547,153,128,62,1327,0,0,25,1,8
Kilburn,178,704,325,414,89,2390,1,1,61,2,18
Mapesbury,166,777,454,381,174,1529,0,0,52,3,10
Northwick Park,151,1258,166,180,119,1510,0,0,31,2,18
Preston,166,1078,195,202,134,1841,0,0,42,5,9
Queens Park,120,1057,350,479,61,1824,0,0,48,4,5
Queensbury,175,1248,154,185,129,2006,0,0,70,3,18
Stonebridge,134,402,136,186,127,2380,0,0,40,5,21
Sudbury,170,885,331,141,108,2004,0,0,39,2,14
Tokyngton,134,867,243,204,158,2166,0,2,34,2,16
Welsh Harp,226,791,182,198,133,1554,0,0,41,1,11
Wembley Central,175,980,278,167,126,2364,0,0,34,3,26
Willesden Green,120,563,311,341,113,1705,1,0,68,1,17
Belmont,169,1515,160,123,70,922,0,0,37,4,6
Canons,116,1834,139,138,66,879,0,1,39,1,6
Edgware,168,897,123,131,70,1354,0,0,44,2,13
Greenhill,137,796,150,187,101,1210,0,0,29,3,10
Harrow on the Hill,149,1047,184,157,47,1056,0,0,36,1,10
Harrow Postals,1376,10930,1201,836,548,8519,0,4,64,12,19
Harrow Weald,247,1169,185,107,71,890,0,0,33,3,7
Hatch End,190,1746,194,156,37,841,0,0,33,4,8
Headstone North,223,1452,198,183,49,1062,0,0,27,2,7
Headstone South,158,904,218,214,63,1362,0,0,28,5,8
Kenton East,160,823,114,84,59,1428,0,1,26,1,14
Kenton West,157,1311,121,119,49,1278,0,0,33,2,7
Marlborough,159,779,141,154,84,1494,0,0,27,0,14
Pinner,167,1554,194,170,35,747,0,1,39,0,8
Pinner South,164,1813,225,171,48,863,0,0,38,1,2
Queensbury AQ,197,929,115,107,36,1451,0,0,18,0,14
Rayners Lane,223,1143,242,136,53,1253,0,0,31,0,6
Roxbourne,262,810,138,132,85,1594,0,0,23,1,8
Roxeth,244,808,131,144,51,1410,0,0,57,2,21
Stanmore Park,169,1708,129,108,57,744,0,0,27,1,9
Wealdstone,214,661,121,132,91,1258,0,0,30,3,11
West Harrow,198,988,149,166,54,1375,0,0,22,3,5
