GSS Code,Ward,Godson Odoamalame AZU,Nicholas Alexander Hannes DA COSTA,Linda KELLY,Joanne MCCARTNEY,Ronald Andrew STEWART,Neville WATSON,Want of official mark,Writing identifying voter,Unmarked,Uncertain,Voting for too many
E05000193,Bowes,19,164,673,2076,370,114,0,0,36,3,14
E05000194,Bush Hill Park,23,183,1563,1539,260,325,0,0,25,0,9
E05000195,Chase,25,152,1297,1412,234,354,0,0,26,4,3
E05000196,Cockfosters,18,185,1974,1061,203,211,0,0,37,0,10
E05000197,Edmonton Green,33,77,357,2594,123,199,0,0,44,1,16
E05000198,Enfield Highway,35,82,623,1806,120,280,0,0,28,2,11
E05000199,Enfield Lock,30,102,609,1980,143,335,0,0,31,1,9
E05000200,Grange,11,213,2100,1204,255,276,0,0,21,2,6
E05000201,Haselbury,46,107,552,2166,163,222,0,0,63,0,18
E05000202,Highlands,11,213,1943,1174,244,297,0,0,41,0,6
E05000203,Jubilee,37,99,617,1931,110,279,0,0,20,1,10
E05000204,Lower Edmonton,27,101,476,2255,142,218,0,0,25,0,10
E05000205,Palmers Green,20,184,950,2087,305,159,0,0,34,0,7
E05000206,Ponders End,22,91,408,1997,119,198,0,0,29,1,15
,Postal,99,643,6463,7429,827,1459,0,1,30,2,11
E05000207,Southbury,24,106,759,1762,193,278,0,0,26,0,4
E05000208,Southgate,21,230,1428,1491,293,218,0,0,56,2,8
E05000209,Southgate Green,19,230,1443,1582,314,155,0,0,25,1,8
E05000210,Town,28,249,1869,1528,329,423,0,0,24,0,5
E05000211,Turkey Street,25,78,670,1639,133,310,0,0,5,0,8
E05000212,Upper Edmonton,53,103,548,2615,163,188,0,0,35,0,16
E05000213,Winchmore Hill,27,232,1681,1590,330,221,0,0,24,1,4
,Alexandra AP,8,686,673,1857,670,99,0,0,21,1,3
E05000267,Bounds Green,13,295,396,1967,387,97,0,0,11,2,11
E05000268,Bruce Grove,34,114,260,2087,374,81,0,0,30,4,10
E05000269,Crouch End,4,735,657,2002,664,97,0,0,24,3,3
E05000270,Fortis Green,12,698,742,1806,478,112,0,0,28,6,5
,Haringey Postal Batches,96,1637,2959,7471,1349,504,0,3,33,5,7
E05000271,Harringay,16,344,351,2162,710,72,0,0,16,2,9
,Highgate AP,12,654,842,1280,445,90,0,0,22,3,2
E05000273,Hornsey,18,403,353,2331,533,91,0,0,27,5,6
E05000274,Muswell Hill,10,761,627,1748,547,76,0,0,22,2,3
E05000275,Noel Park,18,261,293,1844,306,108,0,0,27,0,5
E05000276,Northumberland Park,38,77,187,2045,172,88,0,1,33,0,12
E05000278,Seven Sisters,33,138,444,2186,480,90,0,0,30,0,13
E05000277,St Ann`s,36,162,303,2167,571,90,0,0,31,1,15
E05000279,Stroud Green,9,489,345,2583,671,77,0,0,13,2,4
E05000280,Tottenham Green,44,147,263,2346,482,91,0,0,45,3,9
E05000281,Tottenham Hale,38,120,336,2364,272,108,0,0,25,2,8
E05000282,West Green,16,146,317,2154,406,88,0,0,31,2,5
E05000283,White Hart Lane,38,87,248,1866,184,135,0,0,22,0,20
,Woodside AP,26,260,324,1891,335,129,0,0,39,2,16
